2.5000000 0.00215674
7.5000000 0.00620739
12.500000 0.00980557
17.500000 0.0120328
22.500000 0.0147503
27.500000 0.0174869
32.500000 0.0238298
37.500000 0.0282137
42.500000 0.0297635
47.500000 0.0268671
52.500000 0.0234992
57.500000 0.0198387
62.500000 0.0198198
67.500000 0.0202424
72.500000 0.0233692
77.500000 0.0257129
82.500000 0.0293706
87.500000 0.0357542
92.500000 0.0411379
97.500000 0.0463482
102.50000 0.0511223
107.50000 0.0521275
112.50000 0.0529728
117.50000 0.0545687
122.50000 0.0548478
127.50000 0.0496835
132.50000 0.0495372
137.50000 0.0409618
142.50000 0.036334
147.50000 0.0301862
152.50000 0.0232337
157.50000 0.0171401
162.50000 0.0135392
167.50000 0.00962945
172.50000 0.00576575
177.50000 0.00214319
